,divMin,divProd,instanceNum,jacInd,num1,num2,numCommon,num_codonors,str1,str2
6,0.140350877,3.86E-07,0,0.00043838,1140,364000,160,725,AMERISH BERA,KIRSTEN GILLIBRAND
7,0.171226415,1.16E-06,0,0.022057483,147000,21200,3630,726,DIANNE FEINSTEIN,KATHLEEN HOCHUL
8,0.00870283,2.17E-08,0,0.000832899,401000,42400,369,726,JON TESTER,BRADLEY SCHNEIDER
9,0.026649746,2.24E-07,0,0.01073071,78800,119000,2100,729,RICHARD NOLAN,SEAN MALONEY
10,0.040406504,1.90E-07,0,0.015013745,123000,213000,4970,730,TAMMY BALDWIN,WILLIAM OWENS
11,0.145378151,3.45E-07,0,0.033097379,421000,119000,17300,730,LOUISE SLAUGHTER,SEAN MALONEY
12,0.003278689,4.55E-08,0,1.38E-05,305,72000,1,730,JEFFRY FLAKE,THOMAS COTTON
13,0.011061321,3.22E-08,0,0.0012184,343000,42400,469,730,ALAN GRAYSON,BRADLEY SCHNEIDER
14,0.012874251,1.08E-07,0,0.001586892,16700,119000,215,730,JOE MIKLOSI,SEAN MALONEY
15,0.126984127,3.17E-07,0,0.051529791,401000,252000,32000,731,JON TESTER,MARK TAKANO
16,0.30212766,6.15E-07,0,0.072276892,491000,141000,42600,733,DEBBIE STABENOW,RAUL GRIJALVA
17,0.009191176,2.68E-08,0,7.23E-05,343000,2720,25,733,ALAN GRAYSON,PATRICK KREITLOW
18,0.202688728,5.35E-07,0,0.0005161,379000,967,196,734,RAUL RUIZ,VALDEZ DEMINGS
19,0.019416667,4.84E-08,0,0.000564483,401000,12000,233,735,JON TESTER,SHELLI YODER
20,0.00387234,3.80E-09,0,0.000470506,141000,1020000,546,736,RAUL GRIJALVA,JOSEPH DONNELLY
21,0.010264901,9.68E-08,0,0.001281574,15100,106000,155,736,CHRISTIE VILSACK,ROB ZERBAN
22,0.03183391,2.68E-07,0,0.01051669,57800,119000,1840,737,BETTY SUTTON,SEAN MALONEY
23,0.235664336,6.04E-07,0,0.067494492,143000,390000,33700,737,DONNA EDWARDS,HEIDI HEITKAMP
24,0.005149701,8.88E-09,0,0.000144147,580000,16700,86,737,AMY KLOBUCHAR,JOE MIKLOSI
25,0.007894737,6.58E-07,0,0.000685401,1140,12000,9,737,AMERISH BERA,SHELLI YODER
26,0.010538462,5.85E-08,0,0.000710349,180000,13000,137,740,BERNARD SANDERS,ROBERT KERREY
27,0.000692308,1.25E-09,0,1.58E-05,555000,13000,9,740,DAVID GILL,ROBERT KERREY
